Normalized SMILES,index,sigma_1,sigma_2,sigma_3,sigma_4,sigma_5,sigma_6,sigma_7,sigma_8,sigma_9,sigma_10,sigma_11,sigma_12,sigma_13,sigma_14,sigma_15,sigma_16,sigma_17,sigma_18,sigma_19,sigma_20,sigma_21,sigma_22,sigma_23,sigma_24,sigma_25,sigma_26,sigma_27,sigma_28,sigma_29,sigma_30,sigma_31,sigma_32,sigma_33,sigma_34,sigma_35,sigma_36,sigma_37,sigma_38,sigma_39,sigma_40,sigma_41,sigma_42,sigma_43,sigma_44,sigma_45,sigma_46,sigma_47,sigma_48,sigma_49,sigma_50,sigma_51,Vcosmo
CCC(CC)C(=O)NC(=O)NC(=O)NC,912,0.185,0.483,0.683,0.9,1.31,1.713,2.081,2.289,2.15,1.927,1.645,1.257,0.887,0.851,1.117,1.379,1.779,2.782,5.308,10.364,16.745,21.526,22.629,21.231,20.848,19.861,16.737,12.914,7.485,3.067,1.859,1.693,1.612,1.642,2.139,3.281,5.335,7.639,8.497,7.716,5.88,4.478,3.339,1.482,0.261,0.023,0,0,0,0,0,272.7571
CCN(CC)C(=O)Nc1ccc(C)cc1Cl,913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045,0.426,1.622,3.674,7.957,15.462,22.089,22.958,19.237,17.316,19.437,22.209,25.039,25.743,21.36,15.276,10.17,6.03,2.901,0.939,0.436,0.827,1.419,1.914,2.551,3.216,2.737,1.246,0.257,0.023,0,0,0,0,0,0,0,298.3514
COC1C(C)(C)C(C)C(=O)C2OC21C,914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126,0.787,2.549,6.402,13.953,21.593,23.799,22.42,19.674,17.079,15.984,14.732,12.036,7.372,3.165,2.07,2.765,3.178,3.119,3.804,5.478,6.332,5.276,3.534,2.481,1.596,0.551,0.057,0,0,0,0,0,0,0,0,258.4392
COC(=O)C(C)(C)N(C)OC,915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.328,2.592,7.472,13.274,18.128,20.393,19.701,18.1,16.716,15.06,13.178,9.859,5.579,3.464,3.137,2.503,2.254,2.832,3.236,4.231,5.584,5.003,3.378,2.189,1.071,0.379,0.175,0.252,0.348,0.165,0.01,0,0,0,0,213.8111
O=S1(=O)C=C(c2ccccc2)OC1,916,0,0,0,0,0,0,0,0,0,0,0.03,0.4,1.627,4.103,6.415,6.167,6.227,9.855,12.688,11.361,8.569,6.979,6.794,7.236,7.75,8.704,10.513,12.21,12.708,12.378,9.969,5.669,2.925,2.6,4.238,7.675,10.397,8.061,2.81,0.262,0,0,0,0,0,0,0,0,0,0,0,210.7557
CCCSSC(C)SCCC,917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.227,1.429,4.729,10.958,19.421,26.505,27.103,21.867,18.473,19.863,22.347,21.997,17.181,11.652,8.23,7.295,7.691,6.47,4.765,3.201,1.588,0.732,0.215,0,0,0,0,0,0,0,0,0,0,0,0,274.9178
O=[N+]([O-])C(C1CC1)C(O)c1ccccc1,918,0,0,0,0,0.008,0.158,0.505,0.771,0.634,0.564,1.015,1.189,0.809,0.55,0.672,1.14,2.975,7.577,14.527,18.899,17.194,13.514,10.802,8.934,8.259,9.048,10.814,11.656,11.794,12.33,13.445,14.258,11.262,6.259,4.31,4.098,3.328,2.7,2.293,1.45,0.631,0.293,0.11,0,0,0,0,0,0,0,0,258.8148
CCC(CC(=O)c1ccccc1)[N+](=O)[O-],919,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225,1.256,3.179,5.807,9.829,13.543,15.32,15.922,15.317,14.131,13.118,12.235,11.992,13.563,14.732,13.09,11.08,10.495,10.072,8.529,6.439,5.68,6.174,5.695,3.553,1.257,0.175,0,0,0,0,0,0,0,0,0,0,0,256.6381
CCP(=O)(OC)Oc1ccccc1,920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0.675,4.104,11.074,17.198,18.005,16.328,15.444,14.386,12.982,11.566,11.046,11.199,10.919,10.848,10.899,10.639,8.877,5.443,2.996,2.212,2.089,2.355,2.517,2.626,3.62,4.341,2.879,0.803,0.035,0,0,0,0,0,0,0,241.4782
C=C(C#N)NC(C#N)CC#N,921,0,0,0,0,0.063,0.517,1.289,1.608,1.318,1.11,1.853,3.214,4.461,5.42,5.318,5.095,5.733,5.822,5.417,5.182,4.792,5.055,6.279,7.279,8.128,9.363,8.936,6.888,6.546,7.297,7.96,9.742,11.633,11.324,9.256,7.601,6.491,4.736,2.182,0.403,0.003,0,0,0,0,0,0,0,0,0,0,193.1629
CC1(C)C2CC=C(C=O)CC21,922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0.417,1.896,5.298,9.964,14.153,17.439,19.54,19.4,16.865,14.808,14.749,14.283,10.857,5.896,3.022,2.049,1.223,0.955,1.531,2.158,3.142,3.819,3.063,2.199,1.653,0.829,0.185,0,0,0,0,0,0,0,0,203.8352
CCC1=C(CC)C(C(=O)OC)C1C(=O)OC,923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.683,4.911,11.628,16.197,19.674,24.373,27.587,26.085,22.38,18.98,16.097,13.39,8.86,5.095,4.114,3.817,3.914,4.297,4.577,5.918,7.959,7.44,4.625,2.312,0.769,0.055,0,0,0,0,0,0,0,0,0,297.8532
FC(c1ccccc1)C(F)c1ccccc1,924,0,0,0,0,0,0,0,0,0,0,0,0,0.072,0.545,1.601,3.159,5.259,9.346,15.867,18.369,14.726,11.725,10.917,9.962,9.27,9.557,10.972,13.474,15.904,17.597,19.145,20.343,16.996,8.676,2.136,0.113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265.6537
CC(C)(C)OC(=O)NCCc1cnc(N)[nH]1,925,0,0,0,0,0,0,0.031,0.235,0.989,2.334,3.813,4.514,4.266,4.051,3.528,2.749,2.603,3.162,5.965,11.43,16.695,20.387,20.246,15.464,12.473,14.163,18.339,18.878,12.29,6.655,5.582,5.692,5.22,4.289,3.794,4.386,5.525,5.242,4.598,4.595,3.79,2.401,1.527,1.194,0.983,0.877,0.672,0.265,0.034,0,0,288.2608
CCCC(=O)N(C(C)=O)c1ccc(O)cc1,926,0,0,0,0.028,0.196,0.639,1.045,1.087,1.186,1.238,0.839,0.453,0.308,0.488,1.053,3.2,7.55,11.476,12.952,12.667,13.507,16.506,17.819,15.832,13.379,11.869,12.188,13.552,12.008,8.545,7.203,6.706,5.13,3.565,3.72,6.041,8.659,8.863,6.56,4.058,1.968,0.553,0.096,0,0,0,0,0,0,0,0,274.329
CC=COP(=O)(OC)OC,927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.428,3.085,9.268,13.953,13.839,14.954,17.259,16.1,13.292,10.227,8.378,9.009,8.926,6.743,5.435,5.744,5.976,5.695,4.487,3.542,3.583,3.127,2.287,2.872,4.305,3.649,1.388,0.151,0,0,0,0,0,0,0,0,193.8303
CC1=NN(C(C)C)CC1,928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138,1.928,7.032,13.697,19.335,21.908,20.135,17.188,15.595,14.768,13.57,9.645,4.466,1.752,1.207,1.31,1.235,1.064,1.247,1.416,1.557,2.166,2.397,1.653,1.276,1.211,0.738,0.24,0.018,0,0,0,0,0,179.4791
COP(OC)OC1CC(C)CCC1C(C)C,929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016,0.613,4.427,10.681,16.225,22.761,32.862,39.615,34.28,25.091,20.791,20.837,19.815,12.436,4.995,1.949,1.306,1.935,2.724,3.308,3.905,4.242,3.758,2.448,0.961,0.152,0.002,0,0,0,0,0,0,0,0,328.5276
CC(=O)CCCC(=O)SC(C)(C)C,930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.765,4.494,11.372,18.17,22.29,23.664,22.574,19.493,16.984,16.645,18.356,17.01,10.302,6.068,5.251,4.469,3.933,3.525,3.744,4.654,6.096,6.145,4.047,2.306,1.535,0.794,0.188,0.002,0,0,0,0,0,0,0,269.5635
CNC(=O)CCC(=O)Nc1ccccc1Br,931,0,0,0,0,0,0,0,0.059,0.547,1.399,1.576,1.202,1.123,1.087,0.932,1.646,4.675,9.891,15.796,18.59,16.498,14.17,14.614,15.342,14.789,15.353,18.258,20.03,18.866,16.316,11.321,5.239,1.802,1.262,2.004,2.393,3.184,4.655,5.309,5.442,4.582,2.537,0.98,0.244,0,0,0,0,0,0,0,284.1839
O=C(O)C1=COCC1,932,0,0,0,0,0.062,0.407,0.925,1.053,1.06,1.168,0.767,0.278,0.362,1.152,2.31,2.437,1.915,3.718,7.307,9.407,9.473,8.191,7.227,7.474,7.946,7.588,5.96,4.426,3.839,3.493,2.767,2.519,3.574,4.51,4.485,4.402,4.564,4.681,4.231,2.931,1.467,0.407,0,0,0,0,0,0,0,0,0,131.1321
OCCC#Cc1ccccc1,933,0,0,0,0,0,0,0.107,0.487,0.926,0.876,0.738,1.103,1.244,0.889,0.59,0.526,1.285,5.664,13.575,17.821,15.8,12.239,9.427,7.645,7.386,7.555,7.98,9.054,11.237,13.658,13.047,11.118,8.935,5.616,3.091,1.73,1.069,1.013,1.512,2.228,2.291,1.491,0.57,0.098,0,0,0,0,0,0,0,195.3624
O=CNCc1cccc(CNC=O)c1,935,0,0,0,0,0,0,0,0.176,1.307,2.622,2.727,2.428,2.284,2.285,2.108,1.873,3.404,9.57,17.054,17.122,12.17,9.287,9.339,11.312,12.437,11.108,9.16,9.016,9.995,9.825,8.665,7.468,5.311,2.623,1.408,1.519,2.077,3.729,6.539,7.447,5.765,4.015,2.319,0.711,0.066,0,0,0,0,0,0,245.724
CC(=O)N(Cc1ccc(C)cc1)C(C)=O,936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122,1.056,3.006,6.725,13.338,19.49,21.095,19.451,17.447,16.383,16.433,15.798,13.256,10.189,8.226,7.749,7.324,6.86,6.476,4.818,3.485,4.428,6.551,6.649,4.056,2.003,1.274,0.544,0.051,0,0,0,0,0,0,0,0,263.9543
CCCN(C)c1ccccc1,937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103,1.275,5.066,11.29,17.221,19.651,19.117,17.866,15.79,13.859,13.125,12.513,10.832,8.82,8.261,8.222,7.451,6.635,5.223,2.778,0.868,0.149,0,0,0,0,0,0,0,0,0,0,0,0,0,213.2624
COCC(=O)NN=Cc1ccc(F)cc1,938,0,0,0,0,0,0.14,0.618,0.986,1.124,1.29,1.092,0.733,0.526,0.598,1.241,3.587,8.85,12.504,12.354,13.373,14.422,12.989,11.305,11.468,13.431,14.119,13.406,14.907,16.851,14.914,10.572,5.782,2.135,1.502,1.975,2.149,3.111,4.31,4.376,3.754,3.564,3.8,3.161,1.471,0.287,0.022,0,0,0,0,0,247.0224
O=C=NC(Cl)(Cl)Cl,939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039,0.502,2.17,6.617,9.826,7.019,5.043,7.462,8.628,7.469,9.057,15.623,23.092,24.554,16.101,5.302,0.591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.1118
CC(C)(C)SCc1ccccn1,940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245,2.21,7.101,11.011,12.737,15.092,17.342,17.828,15.763,13.469,12.959,16.759,20.587,17.034,10.712,6.213,3.989,3.225,2.492,2.759,3.647,3.352,2.177,1.415,1.29,1.109,0.581,0.48,0.7,0.55,0.281,0.121,0.023,0,0,0,241.3388
CCCOc1ccc(OC=O)cc1OC,941,0,0,0,0,0,0,0,0,0,0,0,0,0,0.297,1.916,4.082,5.091,6.208,9.267,13.869,17.534,19.859,20.577,18.112,15.477,14.721,15.289,15.81,13.595,9.855,6.872,5.148,4.783,5.048,5.675,5.934,5.462,5.103,4.015,2.045,0.626,0.088,0,0,0,0,0,0,0,0,0,262.2099
CC(CC(=O)O)Sc1ccccc1NC=O,942,0,0,0,0.021,0.246,0.755,1.16,1.342,1.502,1.418,1.01,0.861,1.239,1.585,1.688,2.309,4.897,9.094,13.221,14.955,13.997,13.562,13.911,13.268,12.635,13.855,14.743,13.769,12.794,12.883,12.276,8.485,4.47,3.95,5.418,6.646,7.406,7.037,4.929,2.593,1.353,0.692,0.185,0,0,0,0,0,0,0,0,283.427
SC1C2CCC(C2)C1S,943,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087,0.695,1.969,3.535,4.726,5.466,7.443,11.299,14.303,14.85,14.249,13.038,12.032,12.914,12.943,9.128,6.29,6.875,6.398,4.39,3.777,4.573,5.104,3.848,1.518,0.224,0,0,0,0,0,0,0,0,0,0,0,0,198.2009
CCCCCOP(=O)(OC)OC,944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079,2.083,8.017,12.846,13.12,15.453,21.344,26.728,26.891,19.947,13.579,11.438,10.989,9.207,5.21,2.855,2.884,3.065,3.397,4.407,5.16,5.033,3.788,2.685,3.731,4.626,2.875,0.703,0.011,0,0,0,0,0,0,0,246.765
N#CC1=C(C#N)C2C=CC1C=C2,945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.453,3.379,8.795,12.036,11.189,9.123,9.013,11.354,12.311,10.516,9.246,8.552,7.229,6.906,7.194,7.106,7.885,8.85,8.868,7.899,6.181,4.962,4.387,3.399,1.501,0.167,0,0,0,0,0,0,0,0,0,0,0,192.6818
NC(=O)c1ccsn1,946,0,0,0,0,0,0,0,0.064,0.544,1.625,2.477,2.431,2,2.291,3.432,4.482,4.874,4.244,3.242,2.912,3.402,4.555,5.912,7.412,9.557,12.516,13.371,10.073,6.509,4.362,3.102,2.91,2.307,1.764,2.1,2.272,2.474,3.647,4.88,4.406,2.569,1.172,0.493,0.103,0,0,0,0,0,0,0,138.9273
COC1C=CC(C(=O)O)C(C(=O)O)C1O,947,0,0,0,0.063,0.536,1.752,2.952,3.498,3.308,2.323,1.458,1.654,2.45,2.496,2,2.22,3.055,4.908,8.4,12.395,14.526,13.166,10.877,10.035,9.278,7.595,6.029,5.249,5.196,6.154,6.967,6.611,6.126,6.648,7.603,9.33,11.093,9.763,6.549,3.891,1.669,0.335,0.012,0,0,0,0,0,0,0,0,243.3455
C=C(C)C1CCCN1C(=O)OC,948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034,0.789,4.977,13.935,21.658,22.825,20.66,19.321,18.146,16.749,14.942,10.554,6.399,4.643,3.424,2.957,3.15,3.301,3.241,2.613,1.844,2.193,3.525,4.149,3.315,1.594,0.309,0,0,0,0,0,0,0,0,224.9028
C=CC(N=C=O)c1ccccc1,949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142,0.909,2.711,6.66,12.878,16.2,14.003,11.197,10.884,11.349,10.414,9.656,11.036,11.646,11.332,12.486,13.122,13.099,12.642,8.885,3.339,0.415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207.7513
N#CCCc1c[nH]c(CN)c1CC#N,951,0,0,0,0,0,0,0.067,0.619,1.346,1.351,1.266,1.358,1.337,2.325,4.894,8.949,12.331,13.234,13.278,13.336,12.448,10.068,8.662,8.673,8.068,7.647,7.582,7.251,6.975,7.34,8.029,8.159,8.997,10.293,10.709,9.022,6.196,5.28,4.425,2.73,1.329,0.499,0.539,0.788,0.892,0.693,0.44,0.384,0.243,0.051,0,252.1609
CCc1ccccc1N=C=O,952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028,0.489,1.41,3.158,6.277,9.409,11.897,14.349,15.93,14.791,12.591,12.29,13.65,14.937,13.786,10.552,8.919,9.777,9.191,5.356,1.428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190.9004
N#Cc1ccc(NN)cc1,953,0,0,0,0,0,0,0,0,0.158,0.764,1.561,2.745,4.352,4.7,4.104,4.618,6.229,7.436,7.117,6.143,5.119,3.841,3.093,4.032,6.805,8.991,9.594,10.601,11.592,11.14,9.35,6.343,4.016,3.926,4.943,5.426,4.594,3.264,2.817,2.583,1.507,0.51,0.112,0,0,0,0,0,0,0,0,166.9831
O=C(O)c1ccc(CS)cc1,954,0,0,0,0.057,0.302,0.808,1.113,1.15,1.181,0.782,0.316,0.402,0.764,0.95,1.161,2.096,5.014,9.612,11.905,10.188,7.468,6.582,7.815,9.741,10.004,9.244,9.995,11.331,12.42,12.436,10.14,7.251,5.165,4.478,5.057,5.402,5.357,4.253,2.412,1.119,0.291,0,0,0,0,0,0,0,0,0,0,198.6284
C#Cc1ccccc1Cl,955,0,0,0,0,0,0,0,0,0,0,0.126,0.714,1.567,1.658,1.149,1.506,4.032,7.558,8.279,6.396,5.889,6.516,5.212,4.264,6.521,10.266,13.584,15.91,18.517,18.448,13.323,8.381,5.514,2.789,0.71,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.7565
CNC(=O)NC(=O)C(C)C1=CCCCC1,956,0,0,0,0.015,0.23,0.759,1.278,1.449,1.511,1.674,1.691,1.57,1.29,0.92,0.854,0.866,0.895,2.029,4.96,9.676,15.259,20.206,22.729,22.966,22.811,21.691,19.704,16.442,10.669,5.263,2.895,2.493,2.268,1.768,1.593,1.747,2.4,4.301,6.278,6.286,4.437,2.667,1.958,1.486,0.641,0.078,0,0,0,0,0,270.2424
CC1CN(C)CCC1(O)C#N,957,0,0,0,0,0.01,0.153,0.58,0.846,0.768,0.85,0.87,0.536,0.285,0.452,0.731,0.703,0.682,1.609,5.281,11.309,15.979,17.473,17.507,16.923,15.343,14.131,11.345,6.201,3.297,2.81,3.529,4.616,4.519,4.969,5.473,5.016,4.379,3.722,3.259,2.271,1.086,0.424,0.173,0.347,0.507,0.278,0.036,0,0,0,0,205.2397
N#CCN(CC#N)C(=O)c1cccc(Cl)c1,958,0,0,0,0,0,0,0,0,0.113,0.462,1.344,3.005,4.796,5.795,6.178,7.435,10.47,12.155,9.707,7.106,7.648,7.954,6.32,6.134,9.025,12.132,14.094,16.911,18.038,14.446,10.176,8.622,8.669,8.448,7.473,7.479,8.038,6.418,3.173,0.995,0.273,0.04,0,0,0,0,0,0,0,0,0,273.215
CC(C)(Cl)C(=O)c1ccc(Cl)cc1,959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121,1.65,4.769,7.67,10.318,12.29,12.613,11.747,10.521,10.734,13.925,17.885,20.285,21.675,20.061,15.409,10.856,6.707,3.356,1.964,2.181,3.106,3.175,1.955,0.939,0.329,0.002,0,0,0,0,0,0,0,0,0,0,245.1826
CCCCN(C)C(=O)C(F)(F)F,960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122,0.871,3.424,7.032,9.088,11.14,15.22,19.448,20.214,16.084,14.458,19.038,22.838,18.509,7.971,1.804,1.001,0.99,1.344,1.333,1.362,2.573,3.919,3.557,2.027,0.676,0.07,0,0,0,0,0,0,0,0,0,211.1142
CS(=O)c1ccccc1O,961,0,0,0,0,0.074,0.318,0.58,0.747,0.93,0.804,0.385,0.258,0.372,0.404,0.785,2.449,6.177,10.911,12.561,10.161,8.151,7.755,7.759,8.721,9.258,8.67,8.57,8.835,8.969,9.197,8.263,5.767,3.162,1.533,1.512,2.346,3.078,3.583,3.508,3.434,3.661,2.81,1.031,0.084,0,0,0,0,0,0,0,180.3767
C=CCC(CC(C)C)C(=O)NC(N)=O,962,0,0,0.005,0.346,0.9,1.132,1.39,1.658,2.062,2.607,2.429,2.112,1.974,1.63,1.487,1.643,1.77,2.173,4.449,9.191,14.771,17.691,17.548,16.807,15.876,15.618,15.28,14.952,12.746,7.041,3.875,3.773,3.286,2.726,2.446,2.161,2.699,4.966,6.407,5.42,3.986,2.92,2.2,1.889,1.068,0.198,0,0,0,0,0,266.9928
CCOC(=O)C(C#N)c1cc(C#N)ccn1,963,0,0,0,0,0,0,0,0,0,0.012,0.554,1.942,3.127,4.072,5.3,6.06,6.467,7.213,8.663,11.145,14.731,17.3,16.04,14.215,14.807,13.684,9.581,6.11,4.797,4.971,7.05,10.428,11.85,10.804,10.095,10.05,8.443,5.262,2.372,0.859,0.362,0.143,0.031,0,0,0,0,0,0,0,0,261.7578
CC1CCc2c(cnc(N)c2C#N)C1,964,0,0,0,0,0,0,0,0.024,0.357,1.228,2.236,2.546,2.322,1.946,1.246,1.063,1.626,2.619,4.343,6.975,11.282,16.112,18.725,19.102,18.517,17.63,17.072,16.399,12.504,6.462,3.531,3.273,3.936,5.161,5.532,5.027,4.229,3.494,2.719,1.704,0.84,0.604,0.683,0.477,0.208,0.063,0,0,0,0,0,238.6974
CCCCNC(=O)c1nc2ncccn2n1,965,0,0,0,0,0,0,0,0,0.088,0.327,0.496,0.735,1.935,3.117,3.813,5.934,7.184,6.186,6.775,9.342,13.215,17.674,21.193,23.414,22.141,18.076,14.681,13.061,10.092,5.312,3.592,3.736,2.89,2.996,3.984,4.03,3.898,4.935,6.52,6.494,4.441,2.629,1.547,0.505,0.019,0,0,0,0,0,0,263.5501
O=C(O)C1NCCc2cc(O)ccc21,966,0,0,0,0.06,0.456,1.441,2.166,2.215,2.351,2.069,1.275,1.479,2.266,2.112,1.814,2.395,3.397,4.558,6.862,10.277,12.813,12.945,11.518,10.147,8.998,8.442,7.789,7.487,8.232,8.542,9.345,9.574,7.821,6.337,5.82,6.229,6.484,5.552,3.983,1.968,1.041,1.154,0.691,0.205,0.239,0.345,0.196,0.023,0,0,0,222.3128
COC(=O)c1ccc(C[N+](=O)[O-])cc1,967,0,0,0,0,0,0,0,0,0,0,0,0,0.043,0.809,3.011,5.424,7.827,11.447,13.926,12.741,10.397,10.09,11.09,11.002,10.024,9.792,11.335,13.418,11.734,7.72,7.39,9.923,9.835,6.965,5.221,5.584,6.054,4.621,2.262,0.719,0.104,0,0,0,0,0,0,0,0,0,0,225.1086
CCOC(=O)C1C(=O)NC(C)=C(C#N)C1C,968,0,0,0,0,0,0.186,0.652,1.058,1.295,1.124,0.627,0.497,0.592,0.81,1.4,2.307,4.225,8.272,13.72,17.733,19.185,18.136,16.627,16.832,15.42,13.345,11.576,7.088,3.524,3.142,3.857,4.649,5.344,6.695,8.804,10.69,10.629,8.057,5.197,3.136,1.296,0.223,0.012,0,0,0,0,0,0,0,0,270.371
CCOc1ccc(C(N)CC(=O)O)cc1,969,0,0,0,0.017,0.16,0.671,1.109,1.16,1.22,0.935,0.426,0.351,1.021,2.298,2.828,2.657,4.159,7.222,11.015,15.704,18.411,17.623,15.169,13.116,11.986,11.218,10.538,9.623,9.401,9.448,9.043,9.157,8.233,6.575,6.327,6.089,5.713,5.261,4.054,2.639,1.164,0.269,0.37,0.767,0.743,0.406,0.265,0.256,0.11,0,0,262.3727
CC1CS(=O)c2ccccc2C1=O,970,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0.926,3.382,7.983,12.25,12.73,11.595,12.128,12.515,11.397,11.217,11.627,12.472,14.696,15.23,11.93,6.314,2.334,1.265,1.461,2.017,2.669,4.221,5.7,5.379,4.442,4.03,3.399,2.004,0.574,0.015,0,0,0,0,0,0,0,222.4362
OC12CCC=NC1CCCC2,971,0,0,0,0,0,0,0.066,0.249,0.555,0.679,0.474,0.657,1.105,1.098,0.775,0.392,0.239,0.743,3.13,7.787,12.601,16.228,18.83,18.432,15.475,14.358,14.794,13.345,9.029,4.489,2.433,1.826,1.216,0.977,1.308,1.371,1.141,1.701,2.716,2.755,2.127,1.785,1.463,0.895,0.541,0.519,0.448,0.225,0.046,0,0,197.7529
CN(C)C(=O)N(C)C1C(=O)N(C)C(=O)N1C,972,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046,0.507,1.173,2.158,6.825,15.612,21.988,22.904,21.659,22.905,26.209,23.26,13.453,5.882,3.206,2.456,2.222,2.104,1.806,1.862,2.412,2.933,5.1,8.722,9.874,8.543,6.638,3.959,1.686,0.659,0.169,0,0,0,0,0,0,0,277.4627
CSC1C(=O)CCCC1=O,973,0,0,0,0,0,0,0,0,0,0,0,0.246,1.181,2.23,2.09,1.728,3.828,7.731,11.435,13.807,13.202,11.479,11.018,11.208,11.131,9.488,6.216,3.349,2.745,3.589,3.916,3.832,3.771,3.96,5.613,7.659,7.127,5.211,4.215,2.97,1.225,0.254,0.031,0,0,0,0,0,0,0,0,187.9323
Cc1cccc(C(CC(C)C)N=C=O)c1C,974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109,0.52,1.099,2.3,6.034,12.534,18.849,21.873,23.291,24.542,21.847,19.573,21.98,21.561,15.445,9.771,8.327,9.163,10.702,10.348,6.02,1.541,0.022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299.5622
CCCN1C(=O)C(F)C(OC)C1=O,975,0,0,0,0,0,0,0,0,0,0.012,0.162,0.545,1.083,2.316,3.886,3.975,3.605,5.391,9.053,13.204,16.29,17.739,17.421,14.852,12.009,9.697,8.283,7.29,5.225,4.681,5.91,6.543,6.443,5.735,6.598,8.358,7.572,5.741,3.961,1.907,0.535,0.048,0,0,0,0,0,0,0,0,0,223.8864
CN(C(N)=O)c1ccc(Cl)c(Cl)c1,976,0,0,0,0,0,0,0.004,0.107,0.492,1.415,2.324,2.413,2.086,1.687,1.661,3.23,6.631,9.667,9.966,8.422,7.987,8.442,7.935,8.541,11.003,13.054,15.092,18.418,20.532,18.244,12.248,5.674,1.968,1.332,1.524,1.845,1.892,1.441,2.052,3.597,3.991,2.845,1.175,0.194,0.007,0,0,0,0,0,0,232.6953
O=[N+]([O-])C(Cl)(Cl)Br,977,0,0,0,0,0,0,0,0,0,0,0.001,0.078,0.281,0.559,0.712,1.585,3.284,3.995,3.38,3.6,6.331,7.527,4.57,4.12,10.431,18.766,22.027,17.186,10.849,8.575,7.197,5.318,3.48,1.783,0.621,0.072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.5094
CC(=O)Oc1c(C(C)C)cccc1C(C)C,978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163,1.248,4.119,8.125,12.549,18.494,23.679,25.057,24.302,21.649,17.493,17.229,21.274,18.696,9.972,6.479,6.918,6.867,5.428,3.72,3.662,3.527,2.337,1.512,1.288,0.767,0.196,0.01,0,0,0,0,0,0,0,0,302.9393
COC(=O)c1cc2c(cc1NC=O)OCO2,979,0,0,0,0,0,0,0,0,0,0,0,0.196,0.526,0.703,1.076,4.824,10.402,12.57,13.22,12.392,9.39,9.479,12.99,14.064,12.505,13.118,15.773,15.916,11.975,7.142,5.116,5.529,6.207,6.569,6.415,5.741,5.408,5.025,3.42,1.934,1.241,0.592,0.13,0,0,0,0,0,0,0,0,237.5585
O=S(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,980,0.024,0.255,0.686,1.209,1.483,1.235,1.019,0.881,0.643,0.604,0.709,0.76,0.752,0.658,0.606,0.656,0.842,1.252,1.493,1.506,2.157,3.633,5.814,10.616,22.344,38.877,40.463,22.285,7.453,3.159,2.328,2.88,3.845,4.825,5.207,4.294,2.294,0.572,0,0,0,0,0,0,0,0,0,0,0,0,0,225.5026
CSc1cccc(NC(=O)c2ncn[nH]2)c1,981,0,0,0,0,0.227,0.937,1.559,1.455,1.29,1.439,1.239,1.033,1.378,2.22,3.403,4.198,5.522,8.587,11.191,11.37,10.595,10.713,11.408,12.924,14.919,14.821,12.788,12.281,13.471,13.988,14.15,12.722,9.247,6.521,5.344,4.693,4.904,5.214,3.419,1.693,1.417,0.902,0.235,0,0,0,0,0,0,0,0,264.5075
